"","uid","cover"
"188","HM.7.C.98.2017",119
"189","HM.7.C.99.2015",141
"190","HM.8.A.12.2016",144
"191","HM.8.A.16.2015",114
"192","HM.8.A.31.2016",203
"193","HM.8.A.42.2015",134
"194","HM.8.A.45.2017",185
"195","HM.8.A.47.2016",222
"196","HM.8.A.53.2015",129
"197","HM.8.A.66.2017",163
"198","HM.8.A.91.2017",114
"199","HM.8.B.12.2017",118
"200","HM.8.B.16.2016",106
"201","HM.8.B.31.2017",142
"202","HM.8.B.42.2016",143
"203","HM.8.B.45.2015",129
"204","HM.8.B.47.2017",154
"205","HM.8.B.53.2016",177
"206","HM.8.B.66.2015",129
"207","HM.8.B.91.2015",128
"208","HM.8.C.12.2015",127
"209","HM.8.C.16.2017",163
"210","HM.8.C.31.2015",142
"211","HM.8.C.42.2017",101
"212","HM.8.C.45.2016",190
"213","HM.8.C.47.2015",131
"214","HM.8.C.53.2017",191
"215","HM.8.C.66.2016",169
"216","HM.8.C.91.2016",171
"217","HP.1.A.11.2016",131
"218","HP.1.A.20.2017",134
"219","HP.1.A.35.2017",89
"220","HP.1.A.44.2016",57
"221","HP.1.A.51.2015",80
"222","HP.1.A.54.2015",79
"223","HP.1.A.61.2015",83
"224","HP.1.A.85.2017",66
"225","HP.1.A.91.2016",78
"226","HP.1.B.11.2017",93
"227","HP.1.B.20.2015",97
"228","HP.1.B.35.2015",58
"229","HP.1.B.44.2017",101
"230","HP.1.B.51.2016",104
"231","HP.1.B.54.2016",101
"232","HP.1.B.61.2016",103
"233","HP.1.B.85.2015",93
"234","HP.1.B.91.2017",95
"235","HP.1.C.11.2015",128
"236","HP.1.C.20.2016",155
"237","HP.1.C.35.2016",101
"238","HP.1.C.44.2015",114
"239","HP.1.C.51.2017",127
"240","HP.1.C.54.2017",135
"241","HP.1.C.61.2017",143
"242","HP.1.C.85.2016",105
"243","HP.1.C.91.2015",82
"244","HP.2.A.15.2015",115
"245","HP.2.A.29.2016",79
"246","HP.2.A.35.2015",74
"247","HP.2.A.53.2017",96
"248","HP.2.A.59.2017",93
"249","HP.2.A.6.2017",83
"250","HP.2.A.71.2016",97
"251","HP.2.A.8.2015",100
"252","HP.2.A.80.2016",102
"253","HP.2.B.15.2016",117
"254","HP.2.B.29.2017",75
"255","HP.2.B.35.2016",78
"256","HP.2.B.53.2015",119
"257","HP.2.B.59.2015",58
"258","HP.2.B.6.2015",60
"259","HP.2.B.71.2017",84
"260","HP.2.B.8.2016",73
"261","HP.2.B.80.2017",100
"262","HP.2.C.15.2017",115
"263","HP.2.C.29.2015",87
"264","HP.2.C.33.2016",114
"265","HP.2.C.35.2017",121
"266","HP.2.C.59.2016",123
"267","HP.2.C.6.2016",106
"268","HP.2.C.71.2015",114
"269","HP.2.C.8.2017",145
"270","HP.2.C.80.2015",69
"271","HP.3.A.3.2017",62
"272","HP.3.A.31.2015",65
"273","HP.3.A.47.2015",107
"274","HP.3.A.52.2016",97
"275","HP.3.A.7.2016",72
"276","HP.3.A.73.2017",75
"277","HP.3.A.74.2015",98
"278","HP.3.A.82.2016",92
"279","HP.3.A.88.2017",94
"280","HP.3.B.3.2015",98
"281","HP.3.B.31.2016",85
"282","HP.3.B.47.2016",107
"283","HP.3.B.52.2017",70
"284","HP.3.B.7.2017",84
"285","HP.3.B.73.2015",146
"286","HP.3.B.74.2016",99
"287","HP.3.B.82.2017",99
"288","HP.3.B.88.2015",99
"289","HP.3.C.3.2016",115
"290","HP.3.C.31.2017",101
"291","HP.3.C.47.2017",115
"292","HP.3.C.52.2015",107
"293","HP.3.C.7.2015",100
"294","HP.3.C.73.2016",103
"295","HP.3.C.74.2017",99
"296","HP.3.C.82.2015",95
"297","HP.3.C.88.2016",52
"298","HP.4.A.19.2017",84
"299","HP.4.A.2.2017",84
"300","HP.4.A.38.2017",91
"301","HP.4.A.58.2016",78
"302","HP.4.A.65.2016",84
"303","HP.4.A.67.2015",62
"304","HP.4.A.73.2016",105
"305","HP.4.A.84.2015",76
"306","HP.4.A.9.2015",75
"307","HP.4.B.19.2015",107
"308","HP.4.B.2.2015",81
"309","HP.4.B.24.2016",129
"310","HP.4.B.38.2015",85
"311","HP.4.B.58.2017",98
"312","HP.4.B.65.2017",80
"313","HP.4.B.67.2016",104
"314","HP.4.B.73.2017",88
"315","HP.4.B.9.2016",129
"316","HP.4.C.19.2016",92
"317","HP.4.C.2.2016",87
"318","HP.4.C.24.2017",78
"319","HP.4.C.3.2015",104
"320","HP.4.C.38.2016",85
"321","HP.4.C.58.2015",76
"322","HP.4.C.65.2015",87
"323","HP.4.C.67.2017",132
"324","HP.4.C.9.2017",111
"325","HP.5.A.10.2015",90
"326","HP.5.A.10.2017",67
"327","HP.5.A.14.2016",75
"328","HP.5.A.28.2016",87
"329","HP.5.A.29.2017",76
"330","HP.5.A.41.2016",101
"331","HP.5.A.78.2015",104
"332","HP.5.A.83.2015",80
"333","HP.5.A.NA.2017",69
"334","HP.5.B.10.2015",56
"335","HP.5.B.10.2016",85
"336","HP.5.B.14.2017",67
"337","HP.5.B.28.2017",79
"338","HP.5.B.29.2015",101
"339","HP.5.B.41.2017",94
"340","HP.5.B.78.2016",114
"341","HP.5.B.80.2015",104
"342","HP.5.B.83.2016",85
"343","HP.5.C.10.2016",78
"344","HP.5.C.10.2017",123
"345","HP.5.C.14.2015",82
"346","HP.5.C.28.2015",90
"347","HP.5.C.29.2016",107
"348","HP.5.C.41.2015",110
"349","HP.5.C.78.2017",102
"350","HP.5.C.80.2016",78
"351","HP.5.C.83.2017",112
"352","HP.6.A.13.2015",65
"353","HP.6.A.3.2016",52
"354","HP.6.A.47.2017",86
"355","HP.6.A.48.2017",80
"356","HP.6.A.79.2016",98
"357","HP.6.A.83.2015",81
"358","HP.6.A.84.2015",70
"359","HP.6.A.86.2017",85
"360","HP.6.A.96.2016",76
"361","HP.6.B.13.2016",111
"362","HP.6.B.3.2017",115
"363","HP.6.B.48a.2015",106
"364","HP.6.B.48b.2015",68
"365","HP.6.B.79.2017",131
"366","HP.6.B.84.2016",119
"367","HP.6.B.85.2016",101
"368","HP.6.B.86.2015",97
"369","HP.6.B.96.2017",73
"370","HP.6.C.13.2017",75
"371","HP.6.C.3.2015",91
"372","HP.6.C.47.2016",87
"373","HP.6.C.48.2016",74
