"uid","cover"
"HM.8.C.47.2015",131
"HM.8.C.53.2017",191
"HM.8.C.66.2016",169
"HM.8.C.91.2016",171
"HP.1.A.11.2016",131
"HP.1.A.20.2017",134
"HP.1.A.35.2017",89
"HP.1.A.44.2016",57
"HP.1.A.51.2015",80
"HP.1.A.54.2015",79
"HP.1.A.61.2015",83
"HP.1.A.85.2017",66
"HP.1.A.91.2016",78
"HP.1.B.11.2017",93
"HP.1.B.20.2015",97
"HP.1.B.35.2015",58
"HP.1.B.44.2017",101
"HP.1.B.51.2016",104
"HP.1.B.54.2016",101
"HP.1.B.61.2016",103
"HP.1.B.85.2015",93
"HP.1.B.91.2017",95
"HP.1.C.11.2015",128
"HP.1.C.20.2016",155
"HP.1.C.35.2016",101
"HP.1.C.44.2015",114
"HP.1.C.51.2017",127
"HP.1.C.54.2017",135
"HP.1.C.61.2017",143
"HP.1.C.85.2016",105
"HP.1.C.91.2015",82
"HP.2.A.15.2015",115
"HP.2.A.29.2016",79
"HP.2.A.35.2015",74
"HP.2.A.53.2017",96
"HP.2.A.59.2017",93
"HP.2.A.6.2017",83
"HP.2.A.71.2016",97
"HP.2.A.8.2015",100
"HP.2.A.80.2016",102
"HP.2.B.15.2016",117
"HP.2.B.29.2017",75
"HP.2.B.35.2016",78
"HP.2.B.53.2015",119
"HP.2.B.59.2015",58
"HP.2.B.6.2015",60
"HP.2.B.71.2017",84
"HP.2.B.8.2016",73
"HP.2.B.80.2017",100
"HP.2.C.15.2017",115
"HP.2.C.29.2015",87
"HP.2.C.33.2016",114
"HP.2.C.35.2017",121
"HP.2.C.59.2016",123
"HP.2.C.6.2016",106
"HP.2.C.71.2015",114
"HP.2.C.8.2017",145
"HP.2.C.80.2015",69
"HP.3.A.3.2017",62
"HP.3.A.31.2015",65
"HP.3.A.47.2015",107
"HP.3.A.52.2016",97
"HP.3.A.7.2016",72
"HP.3.A.73.2017",75
"HP.3.A.74.2015",98
"HP.3.A.82.2016",92
"HP.3.A.88.2017",94
"HP.3.B.3.2015",98
"HP.3.B.31.2016",85
"HP.3.B.47.2016",107
"HP.3.B.52.2017",70
"HP.3.B.7.2017",84
"HP.3.B.73.2015",146
"HP.3.B.74.2016",99
"HP.3.B.82.2017",99
"HP.3.B.88.2015",99
"HP.3.C.3.2016",115
"HP.3.C.31.2017",101
"HP.3.C.47.2017",115
"HP.3.C.52.2015",107
"HP.3.C.7.2015",100
"HP.3.C.73.2016",103
"HP.3.C.74.2017",99
"HP.3.C.82.2015",95
"HP.3.C.88.2016",52
"HP.4.A.19.2017",84
"HP.4.A.2.2017",84
"HP.4.A.38.2017",91
"HP.4.A.58.2016",78
"HP.4.A.65.2016",84
"HP.4.A.67.2015",62
"HP.4.A.73.2016",105
"HP.4.A.84.2015",76
"HP.4.A.9.2015",75
"HP.4.B.19.2015",107
"HP.4.B.2.2015",81
"HP.4.B.24.2016",129
"HP.4.B.38.2015",85
"HP.4.B.58.2017",98
"HP.4.B.65.2017",80
"HP.4.B.67.2016",104
"HP.4.B.73.2017",88
"HP.4.B.9.2016",129
"HP.4.C.19.2016",92
"HP.4.C.2.2016",87
"HP.4.C.24.2017",78
"HP.4.C.3.2015",104
"HP.4.C.38.2016",85
"HP.4.C.58.2015",76
"HP.4.C.65.2015",87
"HP.4.C.67.2017",132
"HP.4.C.9.2017",111
"HP.5.A.10.2015",90
"HP.5.A.10.2017",67
"HP.5.A.14.2016",75
"HP.5.A.28.2016",87
"HP.5.A.29.2017",76
"HP.5.A.41.2016",101
"HP.5.A.78.2015",104
"HP.5.A.83.2015",80
"HP.5.A.NA.2017",69
"HP.5.B.10.2015",56
"HP.5.B.10.2016",85
"HP.5.B.14.2017",67
"HP.5.B.28.2017",79
"HP.5.B.29.2015",101
"HP.5.B.41.2017",94
"HP.5.B.78.2016",114
"HP.5.B.80.2015",104
"HP.5.B.83.2016",85
"HP.5.C.10.2016",78
"HP.5.C.10.2017",123
"HP.5.C.14.2015",82
"HP.5.C.28.2015",90
"HP.5.C.29.2016",107
"HP.5.C.41.2015",110
"HP.5.C.78.2017",102
"HP.5.C.80.2016",78
"HP.5.C.83.2017",112
"HP.6.A.13.2015",65
"HP.6.A.3.2016",52
"HP.6.A.47.2017",86
"HP.6.A.48.2017",80
"HP.6.A.79.2016",98
"HP.6.A.83.2015",81
"HP.6.A.84.2015",70
"HP.6.A.86.2017",85
"HP.6.A.96.2016",76
"HP.6.B.13.2016",111
"HP.6.B.3.2017",115
"HP.6.B.48a.2015",106
