"uid","grass","herb","horsetail","moss","rush","sedge","woodrush","cover_tot"
"HM.5.A.10.2017",22,57,0,0,7,1,0,87
"HM.5.A.14.2016",68,74,0,0,12,5,0,159
"HM.5.A.28.2016",51,50,0,0,8,5,0,114
"HM.5.A.29.2017",40,65,0,0,7,1,0,113
"HM.5.A.41.2016",60,45,0,0,7,15,0,127
"HM.5.A.78.2015",26,49,0,1,16,0,0,92
"HM.5.A.80.2017",34,52,0,0,7,2,0,95
"HM.5.A.83.2015",47,88,0,0,23,0,0,158
"HM.5.B.10.2015",64,75,0,0,19,14,0,172
"HM.5.B.10.2016",64,57,0,0,34,16,0,171
"HM.5.B.14.2017",62,69,0,0,3,14,0,148
"HM.5.B.28.2017",27,48,0,0,1,1,0,77
"HM.5.B.29.2015",72,70,0,0,3,4,0,149
"HM.5.B.41.2017",38,37,0,0,37,14,0,126
"HM.5.B.78.2016",71,85,1,0,13,2,0,172
"HM.5.B.80.2015",58,73,1,0,2,17,0,151
"HM.5.B.83.2016",38,82,1,0,8,2,0,131
"HM.5.C.10.2016",51,81,0,0,12,3,1,148
"HM.5.C.10.2017",28,77,0,0,12,17,0,134
"HM.5.C.14.2015",43,65,0,0,0,10,0,118
"HM.5.C.28.2015",72,71,0,0,16,6,0,165
"HM.5.C.29.2016",56,52,0,0,16,4,0,128
"HM.5.C.41.2015",44,69,0,0,30,7,0,150
"HM.5.C.78.2017",29,67,1,0,16,16,0,129
"HM.5.C.80.2016",33,43,1,0,20,16,0,113
"HM.5.C.83.2017",62,85,0,0,12,16,0,175
"HM.6.A.13.2015",39,61,0,1,30,17,0,148
"HM.6.A.47.2017",25,86,0,0,23,19,0,153
"HM.6.A.48.2017",41,92,0,0,16,19,0,168
"HM.6.A.63.2016",60,58,0,0,20,8,0,146
"HM.6.A.79.2016",73,88,0,0,23,4,0,188
"HM.6.A.84.2015",46,51,0,1,16,3,0,117
"HM.6.A.85.2015",36,70,0,0,20,2,1,129
"HM.6.A.86.2017",42,83,0,0,30,14,0,169
"HM.6.A.96.2016",72,49,0,0,12,2,0,135
"HM.6.B.13.2016",64,62,1,0,22,2,0,151
"HM.6.B.3.2017",77,84,1,0,2,15,1,180
"HM.6.B.79.2017",37,100,0,0,28,6,0,171
"HM.6.B.84.2016",70,103,1,0,12,4,0,190
"HM.6.B.85.2016",78,63,0,0,4,2,0,147
"HM.6.B.86.2015",69,73,0,0,7,6,0,155
"HM.6.B.96.2017",68,63,0,0,23,19,0,173
"HM.6.B.97.2015",63,60,0,0,3,7,0,133
"HM.6.B.98.2015",68,60,0,0,6,7,0,141
"HM.6.C.13.2017",47,73,1,0,20,14,0,155
"HM.6.C.3.2015",43,60,0,3,21,14,0,141
"HM.6.C.47.2016",27,45,0,0,29,5,0,106
"HM.6.C.48.2016",62,65,0,0,20,5,0,152
"HM.6.C.79.2015",39,41,0,4,29,15,1,129
"HM.6.C.84.2017",59,72,0,0,21,14,0,166
"HM.6.C.85.2017",61,76,0,0,37,15,0,189
"HM.6.C.86.2016",59,76,0,0,12,3,0,150
"HM.6.C.96.2015",22,75,0,3,33,14,0,147
"HM.7.A.17.2017",29,79,0,0,16,14,0,138
"HM.7.A.24.2016",25,44,0,0,12,5,0,86
"HM.7.A.24.2017",30,79,0,0,22,15,0,146
"HM.7.A.33.2017",31,30,0,0,14,19,0,94
"HM.7.A.53.2015",46,74,0,0,20,4,0,144
"HM.7.A.59.2015",36,53,0,1,16,2,0,108
"HM.7.A.63.2016",41,45,0,0,12,14,0,112
"HM.7.A.98.2015",44,64,0,1,23,16,1,149
"HM.7.A.99.2016",47,33,0,0,7,5,0,92
"HM.7.B.17.2015",44,77,0,0,11,6,0,138
"HM.7.B.24.2015",34,89,0,0,16,16,0,155
